ma_item,ten_san_pham,tu_khoa,cap_bao_bi,site_ap_dung,thi_truong,so_thang_tctp,so_thang_hddg,so_thang_ap_dung,nguon_hsd,quy_tac_hsd,quy_tac_ngay_tran,dong1_loai,dong1_nhan,dong1_mau_ngay,dong1_thanh_phan,dong2_loai,dong2_nhan,dong2_mau_ngay,dong2_thanh_phan,dong3_loai,dong3_nhan,dong3_mau_ngay,dong3_thanh_phan,dong4_loai,dong4_nhan,dong4_mau_ngay,dong4_thanh_phan,ghi_chu_in,nguon_form,trang_thai,trang_thai_duyet,nguoi_cap_nhat,cap_nhat_luc,ngay_ra_soat_ke_tiep,canh_bao
03NM00763,NM NN XK Korea (Hyosung) 4bl x 6chai x 300ml,,gói; thùng,MIP,KR,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A · Expiration date: Until the date marked separately on the product (how to read: in order,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00764,NM NN XK Korea (Hyosung) 2bl x 6chai x 650ml,,gói; thùng,MIP,KR,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A · Expiration date: Until the date marked separately on the product (how to read: in order,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00765,NM CHIN-SU XK Mỹ 6can x 2L,,gói; thùng,MIP,US,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MMDDYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Sử dụng trước MM/DD/YY +Lotno · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00771,NM CS CC Đậm Đặc XK Korea 1 - 6can x 2L,,gói; thùng,MIP,KR,24,,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Ngày/ tháng / năm · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00775,CSCH XK Australia (Golden Star) 15chai x 500ml,,gói; thùng,MIP,AU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DD.MM.YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A · Best Before (dd mm yyyy) & Lot No: see on package,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00780,NMCS tỏi ớt pha sẵn XK Mỹ 12chai x 500ml,,gói; thùng,MIP,US,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MM/DD/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] MM/DD/YYYY + LotNo,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00787,Nước mắm Nam Ngư (QR) 3bl x 8 chai x 500ml,NN 500; NN500 QR; NN500,chai; thùng,MBP; MGP,VN,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,,EXPIRY,HSD,DDMMYY,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00788,Nước mắm Nam Ngư (QR) 3bl x 6 chai x 750ml,NN750; NN 750; NN 750 QR,chai; thùng,MBP; MGP,VN,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,,EXPIRY,HSD,DDMMYY,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00789,Nước chấm Nam Ngư Đệ Nhị (QR) 18 chai x 800ml,DN800; DN 800 QR; DN,chai; thùng,MBP; MGP; MIP,VN,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,,EXPIRY,HSD,DDMMYY,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00795,NM NN XK Nhật 12 chai x 1.2L,,gói; thùng,MIP,JP,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBD,YYYYMMDD,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A | (năm hết hạn/tháng/ngày) · Best before: See on bottle shoulder (đã dịch từ tiếng Nhật),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00803,NMCS chua ngọt XK Mỹ 4bịch x 50gói x 30ml,,gói; thùng,MIP,US,9,9,9,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MMDDYYYY,,,,,hh:mm #*S,,,,,,,,,"[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] MM/DD/YYYY + LotNo · TCTP đang trình ký lại, đã báo LocCH check thêm HSD gói 30ml",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00805,NM NN XK China 12 chai x 1.2L,,chai; thùng,MIP,CN,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,YYYY/MM/DD,,EXPIRY,EXP,YYYY/MM/DD,,,,,hh:mm #*S,,,,,hh:mm + line đóng gói và chữ I · NSX và HSD xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00813,"NM CHIN-SU CCBD XK Mỹ 40chai x 50ml (Giống 720ml Mỹ, His<=400)",,gói; thùng,MIP,US,36,36,36,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MM/DD/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất],HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00825,NMCS chua ngọt XK Mỹ 48chai x 100ml,,gói; thùng,MIP,US,15,15,15,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MMDDYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] MM/DD/YYYY + LotNo · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00828,CSCH XK New Zealand (Gai Lee) 15chai x 500ml,,gói; thùng,MIP,NZ,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DD.MM.YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A · Best Before (dd mm yyyy) & Lot No: see on package,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00857,NMCS Hiệu Tôm Hùm 12x696ml XK Mỹ,,gói; thùng,MIP,US,36,36,36,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MM/DD/YYYY,,,,,hh:mm #*S,,,,,,,,,"[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] LaabbA | Lot No: L là lot number, aa là số tự ló xuất đi, bb là năm sản xuất, A là đóng gói ở MSI · Best if used by
(MM/",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00888,NM NN XK Malaysia (Sangla) 18chai x 750ml,,gói; thùng,MIP,MY,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD/MM/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line đóng gói và chữ A · EXP DATE (DD/MM/YYYY) & Lot Number: See on package,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00889,NM NN XK Korea (OTL) 3bl x 8chai x 500ml,,gói; thùng,MIP,KR,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] hh:mm + line hh:mm + line đóng gói và chữ A · Expiration date: Until the date marked separately on the product (how to r,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00893,NM NN XK Australia 2 (DHN) 4can x 4.8L,,gói; thùng,MIP,AU,15,15,15,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBD,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước ngày/ tháng/ năm Xem trên nắp · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00896,NMCS chua ngọt XK Korea (OTL) 12chai x 300ml,,gói; thùng,MIP,KR,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Ngày/ tháng / năm hết hạn · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00901,CSCH XK Canada 15chai x 500ml,,gói; thùng,MIP,CA,36,36,36,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,YYYY MM DD,,LOT,LOT,DDMMYY,,,,,hh:mm #*S,,,,,"[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] (ngày/tháng/năm hết hạn) · Best before and Lot code: See on the lid · TCTP nâng HSD Canada 36 tháng đang trình ký, chưa",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00902,CCBD XK Canada 12chai x 720ml (His TP<=200),,gói; thùng,MIP,CA,36,36,36,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,YYYY MM DD,,LOT,LOT,DDMMYY,,,,,hh:mm #*S,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Best before & Lot code: See on cap,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00904,NMCS Hiệu Tôm Hùm 12x696ml XK Canada,,gói; thùng,MIP,CA,36,36,36,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,YYYY MM DD,,LOT,LOT,DDMMYYYY,,,,,hh:mm #*S,,,,,"[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Ví dụ: BBF 2028 DE 18 | 08:00 6A Lot 18122025 · Best before and Lot code: See on the lid · TCTP đang trình ký, chưa ban",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00907,NM NN XK Taiwan (Fullerton) 4can x 4.8L,,gói; thùng,MIP,TW,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Xem trên nắp ngày/ tháng/ năm · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00911,NMCS chua ngọt XK Korea (OTL) 24chai x 100ml,,gói; thùng,MIP,KR,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Ngày/ tháng / năm hết hạn · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00916,NC NN Đồng Tiền VÀng XK CPC (HSL) 18chai x 800ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,"Packaging date, Expiry date & Lot Number: See on package
(day/month/year)",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00917,NM NN XK Đầu bếp đặc biệt CPC (HSL) 3bl x 8chai x 500ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,"Packaging date, Expiry date & Lot Number: See on package
(day/month/year)",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00918,NM NN XK Đầu bếp đặc biệt CPC (HSL) 3Bl x 6 chai x 750ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,"Packaging date, Expiry date & Lot Number: See on package
(day/month/year)",HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00936,Nước chấm Nam Ngư Siêu tiết kiệm (QR) 18 chai x 800ml,STK; STK QR; STK 800,chai; thùng,MBP; MGP; MIP,VN,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,,EXPIRY,HSD,DDMMYY,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00976,Nước mắm Nam Ngư XK China (XIngBao) 3bl x 6 chai x 750ml,NN 750 XKTQ; NN750 XKTQ,chai; thùng,MBP; MIP,CN,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,YYYY/MM/DD,,EXPIRY,EXP,YYYY/MM/DD,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM00977,Nước mắm Nam Ngư XK China (XIngBao) 3bl x 8 chai x 500ml,NN 500 XKTQ; NN500 XKTQ,chai; thùng,MBP; MIP,CN,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,YYYY/MM/DD,,EXPIRY,EXP,YYYY/MM/DD,,,,,hh:mm #*S,,,,,,HDĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NM299,CSCH XK Macau (XYX) 15chai x 500ml,,gói; thùng,MIP,MO,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DD/MM/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] ko tìm thấy bản trải,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00390,NTCS XK Nga - KBG 24chai x 270gr,,gói; thùng,MIP,RU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYYYY,,EXPIRY,EXP,DDMMYYYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00391,NTCS Nấm XK Nga - KBG 24chai x 275gr,,gói; thùng,MIP,RU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYYYY,,EXPIRY,EXP,DDMMYYYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00392,NTCS Tỏi ớt XK Nga - KBG 24chai x 275gr,,gói; thùng,MIP,RU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYYYY,,EXPIRY,EXP,DDMMYYYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00397,NTCS XK Hungary (Chimpex) 12chai x 250ml,,gói; thùng,MIP,HU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước: (ngày.tháng.năm) Xem trên cổ chai · Thực tế không có dấu chấm (.),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00398,NTCS Tỏi ớt XK Hungary (Chimpex) 12chai x 250ml,,gói; thùng,MIP,HU,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước: (ngày.tháng.năm) Xem trên cổ chai · Thực tế không có dấu chấm (.),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00401,NTCS XK Czech 12chai x 250ml,,gói; thùng,MIP,CZ,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước ghi trên cổ chai : (ngày tháng năm),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00402,NTCS Tỏi ớt XK Czech 12chai x 250ml,,gói; thùng,MIP,CZ,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước ghi trên cổ chai : (ngày tháng năm) · Thực tế date không cách,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00403,NT TTT nhất ca XK Korea (Oye) 24chai x 500ml (Chai mới),,gói; thùng,MIP,KR,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] EXP: ngày/tháng/năm · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00423,NTCS XK Czech (Dalat) 12chai x 500ml,,gói; thùng,MIP,CZ,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Best before date: Xem trên cổ chai (ddmmyyyy),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00424,NTCS Tỏi ớt XK Czech (Dalat) 12chai x 500ml,,gói; thùng,MIP,CZ,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Best before date: Xem trên cổ chai (ddmmyyyy),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00437,NC TTT Nhị ca XK CPC (DMF) 4bl x 6chai x 500ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00438,NTCS XK Taiwan 2 (N.I.M) 24chai x 250ml,,gói; thùng,MIP,TW,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD/MM/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] EXP: ngày/tháng/năm,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00439,NTCS Tỏi ớt XK Taiwan 2 (N.I.M) 24chai x 250ml,,gói; thùng,MIP,TW,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DD/MM/YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Ngày/ tháng / năm hết hạn,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00440,NT TTT Nhất ca XK Taiwan 2 (N.I.M) 24chai x 500ml (Chai mới),,gói; thùng,MIP,TW,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,EXP,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] EXP: ngày/tháng/năm · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00459,NTCS XK Mỹ 24chai x 250ml,,gói; thùng,MIP,US,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MMM DD YY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Best before date: Xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00460,NTCS Tỏi ớt XK Mỹ 24chai x 250ml,,gói; thùng,MIP,US,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MMM DD YY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] Best before date: Xem trên bao bì,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00462,NT TTT nhất ca XK Mỹ 2bl x 6chai x 650ml (Chai mới),,gói; thùng,MIP,US,24,24,24,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,MM DD YY,,LOT,LOT,DDMMYY,,,,,hh:mm #*S,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trươc (tháng/ngày/năm): ghi trên chai,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00465,NT TTT nhất ca XK Australia (DHN) 12chai x 650ml (Chai mới),,gói; thùng,MIP,AU,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trươc: ghi trên chai,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00468,NT TTT Nhất ca XK CPC (DMF) 4bl x 6chai x 500ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì (ngày tháng năm),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00474,NTCS XK Poland (Asia-Foods) 24chai x 250ml,,gói; thùng,MIP,PL,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước: (ngày/tháng/năm) · Thực tế date ko /,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00475,NTCS Tỏi ớt XK Poland (Asia-Foods) 24chai x 250ml,,gói; thùng,MIP,PL,18,18,18,TCTP,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DD MM YYYY,,,,,hh:mm #*S,,,,,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trước (Ngày/Tháng/Năm),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00476,NTCS XK CPC (DMF) 4bl x 6chai x 250ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì (ngày tháng năm),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00477,NTCS Tỏi ớt XK CPC (DMF) 4bl x 6chai x 250ml,,gói; thùng,MIP,KH,12,12,12,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,MFG,DDMMYY,,EXPIRY,EXP,DDMMYY,,,,,hh:mm #*S,,,,,NSX và HSD xem trên bao bì (ngày tháng năm),HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
03NT00483,NT TTT nhất ca XK Australia (Lotus) 12chai x 650ml (Chai mới),,gói; thùng,MIP,AU,,12,12,HDDG,NSX + N tháng,LUI_CUOI_THANG,EXPIRY,BBF,DDMMYYYY,,LOT,LOT,DDMMYY,,,,,hh:mm #*S,,,,,[bao bì không in NSX — mốc gốc lấy từ lệnh sản xuất] HSD tốt nhất trươc: ghi trên chai,HĐĐG,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
